,Name,Pos.,Height,From,To,Seasons
6,Brodric Thomas,SG,1.96/ 6'5'',2020,2021,1
8,Khyri Thomas,SG,1.91/ 6'3'',2018,2021,3
9,Matt Thomas,SG,1.93/ 6'4'',2019,2021,2
10,Klay Thompson,SG/SF,1.98/ 6'6'',2011,2019,8
11,Tristan Thompson,C/PF,2.06/ 6'9'',2011,2021,10
13,Matisse Thybulle,SF,1.96/ 6'5'',2019,2021,2
14,Killian Tillie,PF/C,2.08/ 6'10'',2020,2021,1
15,Xavier Tillman,PF/C,2.03/ 6'8'',2020,2021,1
17,Obi Toppin,PF,2.06/ 6'9'',2020,2021,1
18,Juan Toscano,PF/SF,1.98/ 6'6'',2019,2021,2
19,Karl-Anthony Towns,C,2.11/ 6'11'',2015,2021,6
20,Gary Trent Jr.,SG/SF,1.96/ 6'5'',2018,2021,3
21,P.J. Tucker,PF,1.96/ 6'5'',2006,2021,10
22,Myles Turner,C,2.11/ 6'11'',2015,2021,6
0,Jonas Valanciunas,C,2.11/ 6'11'',2012,2021,9
1,Denzel Valentine,SF/SG,1.93/ 6'4'',2016,2021,4
2,Jarred Vanderbilt,PF/C,2.06/ 6'9'',2018,2021,3
3,Fred VanVleet,PG/SG,1.85/ 6'1'',2016,2021,5
4,Devin Vassell,SF/SG,2.01/ 6'7'',2020,2021,1
6,Gabe Vincent,PG/SG,1.91/ 6'3'',2019,2021,2
7,Nikola Vucevic,C,2.11/ 6'11'',2011,2021,10
0,Dean Wade,PF,2.06/ 6'9'',2019,2021,2
2,Moritz Wagner,PF/C,2.11/ 6'11'',2018,2021,3
4,Kemba Walker,PG,1.83/ 6'0'',2011,2021,10
5,Lonnie Walker,SG,1.96/ 6'5'',2018,2021,3
6,John Wall,PG,1.93/ 6'4'',2010,2021,10
7,Derrick Walton,PG,1.83/ 6'0'',2017,2020,2
8,T.J. Warren,SF/PF,2.03/ 6'8'',2014,2021,7
9,P.J. Washington,PF/C,2.01/ 6'7'',2019,2021,2
11,Yuta Watanabe,PF/SF,2.03/ 6'8'',2018,2021,3
12,Tremont Waters,PG,1.78/ 5'10'',2019,2021,2
14,Paul Watson,SG/SF,1.98/ 6'6'',2019,2021,2
15,Russell Westbrook,PG/SG,1.91/ 6'3'',2008,2021,13
16,Coby White,PG/SG,1.93/ 6'4'',2019,2021,2
17,Derrick White,SG/PG,1.93/ 6'4'',2017,2021,4
18,Hassan Whiteside,C,2.13/ 7'0'',2010,2021,9
21,Andrew Wiggins,SF/SG,2.01/ 6'7'',2014,2021,7
22,Grant Williams,PF,1.98/ 6'6'',2019,2021,2
23,Kenrich Williams,SF,1.98/ 6'6'',2018,2021,3
24,Louis Williams,SG/PG,1.85/ 6'1'',2005,2021,16
25,Patrick Williams,PF/SF,2.03/ 6'8'',2020,2021,1
26,Robert Williams,C,2.03/ 6'8'',2018,2021,3
28,Zion Williamson,PF,1.98/ 6'6'',2019,2021,2
29,Dylan Windler,SG/SF,1.98/ 6'6'',2020,2021,1
30,Justise Winslow,PF/SF,1.98/ 6'6'',2015,2021,6
31,Cassius Winston,PG,1.85/ 6'1'',2020,2021,1
32,James Wiseman,C,2.16/ 7'1'',2020,2021,1
33,Christian Wood,C/PF,2.08/ 6'10'',2015,2021,5
34,Robert Woodard,SG/SF,2.01/ 6'7'',2020,2021,1
35,Delon Wright,PG/SG,1.96/ 6'5'',2015,2021,6
0,Thaddeus Young,PF/C,2.03/ 6'8'',2007,2021,14
1,Trae Young,PG,1.85/ 6'1'',2018,2021,3
0,Cody Zeller,C,2.13/ 7'0'',2013,2021,8
1,Ivica Zubac,C,2.13/ 7'0'',2016,2021,5
